date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2020-04-01,R,NA,estimate,1.2054355539736723,1.2017060666318597,0.04750585856560539,1.1185019369710316,1.1720505602327953,1.1924136590924335,1.2163907704632804,1.23572292603746,1.2715176999694422
2020-04-02,R,NA,estimate,1.1669081381933022,1.1627081283068332,0.04962063606474744,1.0734198241410393,1.1324183986405432,1.1528708866270114,1.17916609811019,1.1978305586704632,1.2355939521039787
2020-04-03,R,NA,estimate,1.1344780833415649,1.1304230953832735,0.04984556019801278,1.040347246741228,1.0990912794647003,1.1207665537042697,1.146552403177026,1.1655549524787492,1.2047939032168418
2020-04-04,R,NA,estimate,1.1081776514737958,1.1047917735988277,0.048056753711892344,1.017551688985656,1.0736685279399694,1.0944678367067853,1.1198428298945322,1.139413823982138,1.1761893719370002
2020-04-05,R,NA,estimate,1.0877392061309927,1.0853894715328127,0.04464910580324957,1.0085015318942923,1.0568385399243716,1.0757607254919868,1.099681683701107,1.1179713784389103,1.1519597489823539
2020-04-06,R,NA,estimate,1.0737582061320947,1.0714852009092513,0.04044983902279523,1.0014956845505822,1.044409423832151,1.0630895915785776,1.084012609069027,1.1019577335260378,1.132235449559783
2020-04-07,R,NA,estimate,1.064269216870886,1.0621007606987574,0.03663877114823854,0.9994312682453095,1.0372034958245004,1.0538311374695941,1.0734743728725513,1.0885336995054966,1.1174246108438057
2020-04-08,R,NA,estimate,1.0565574541122174,1.0560778860256592,0.03445024460511297,0.996728931914998,1.032919687970102,1.0477387947656585,1.0660198041157245,1.0797061093408504,1.1113888966818066
2020-04-09,R,NA,estimate,1.0511163346706818,1.0521619867248924,0.03448266926451371,0.9970442959614273,1.0289587606258785,1.043790629065456,1.0606210750122456,1.0745126925957933,1.1100168684176117
2020-04-10,R,NA,estimate,1.0471852311813084,1.0491050639643096,0.03619597980632032,0.9934941392392015,1.0254002959480981,1.0389426566183149,1.055253127785147,1.0709175512810154,1.1125004711033273
2020-04-11,R,NA,estimate,1.0419996804462555,1.045780104099101,0.03838465545361209,0.9893631339248008,1.0192149287563237,1.0328488932099995,1.051229931187814,1.0683459574615968,1.114311438914315
2020-04-12,R,NA,estimate,1.0362909579078607,1.0412891096232824,0.04000451447993054,0.9830615545490917,1.0130528989238077,1.0271403349853487,1.0472340645752742,1.065519064024046,1.1136597971088582
2020-04-13,R,NA,estimate,1.0304265344030403,1.035042507268178,0.04054227234473162,0.9779601944704092,1.006227694826796,1.019862149994775,1.0411341713705664,1.0595805933996767,1.1089630007714222
2020-04-14,R,NA,estimate,1.0228808682669168,1.0267923064216709,0.03999288115453004,0.9698442561604755,0.9983662616730975,1.0121886517505756,1.0339542367373493,1.0520157176601095,1.0975236509324653
2020-04-15,R,NA,estimate,1.0139251931606519,1.0166135005380446,0.03868740178231403,0.9592750567427356,0.9892743165957143,1.0038606823856115,1.0224311554428827,1.0414708502701102,1.0851368331213496
2020-04-16,R,NA,estimate,1.0022460938234499,1.0048420385157504,0.03708399213574152,0.9497211719338647,0.9793465235710764,0.9933593944539497,1.0116560487170152,1.0285626718746133,1.0696017704480705
2020-04-17,R,NA,estimate,0.9906240939266269,0.9919871067039554,0.03558113827279815,0.9388437225391839,0.9666070392050022,0.9814926813587697,0.999846018827991,1.014729186366228,1.0537919419512678
2020-04-18,R,NA,estimate,0.977862938776665,0.9786376636232863,0.034404987284412,0.9257608626640875,0.9546627902022959,0.9688698469435588,0.9860089797764635,1.001274968526254,1.0364777928359277
2020-04-19,R,NA,estimate,0.9650429605491868,0.9653794339484477,0.033599772364082285,0.9129638080399094,0.9418237556059607,0.9559268371122821,0.9733340257758214,0.9876330938356517,1.0209203030279608
2020-04-20,R,NA,estimate,0.9524187187465277,0.9527322282564806,0.03309611780165205,0.8992648506197816,0.93090102859125,0.9444410137813526,0.9607454433995273,0.9745091256227723,1.0087198612087798
2020-04-21,R,NA,estimate,0.9413411248792948,0.9411114442463351,0.03279125713792779,0.8862043505569092,0.9199444795495673,0.9333037136440241,0.949238613046006,0.9624434849522974,0.9936592473603101
2020-04-22,R,NA,estimate,0.931955546641928,0.9308132663137392,0.03259260610621855,0.8756419751359731,0.9105636119925501,0.9235150696379573,0.9395642880000993,0.9517681282550341,0.982493278073934
2020-04-23,R,NA,estimate,0.9239451541940862,0.92202035030503815,0.0324253884845824,0.865919967894104,0.9019495874110721,0.9149778560596041,0.9316232139893563,0.9429127939274766,0.9734667141793534
2020-04-24,R,NA,estimate,0.9173083263655735,0.9148230068384826,0.03223309444063254,0.860415704450927,0.8948706147953052,0.9084258815167545,0.9236323666466344,0.9348957182399066,0.9651357346858094
2020-04-25,R,NA,estimate,0.9111231898451377,0.9092496005042879,0.03199106639848357,0.8560487295743191,0.8903012632655289,0.9030072368090836,0.9178374877720143,0.9296501000149666,0.958677077578819
2020-04-26,R,NA,estimate,0.9066289666168055,0.9052991156064933,0.031727091738928265,0.8513509883976385,0.8865585433619847,0.8985401076459226,0.9146860542838937,0.9264209008753687,0.9561860165333232
2020-04-27,R,NA,estimate,0.9040886142956946,0.902969046866802,0.03152439616108054,0.8507707583797135,0.8833950984803839,0.8965600208868425,0.9122105513066978,0.9241733157130843,0.9523300054256598
2020-04-28,R,NA,estimate,0.9032960079131932,0.9022732953911624,0.03148795547703399,0.8509877708464816,0.8822170553311383,0.8954082459071695,0.9108651868404756,0.9232076275636478,0.9512830037697306
2020-04-29,R,NA,estimate,0.9037605954693946,0.9032473535283602,0.03168333023880357,0.8516993066518087,0.8827034739273393,0.8957762082392964,0.9114083660986708,0.9248024288984299,0.9550166982854099
2020-04-30,R,NA,estimate,0.9053730009687595,0.9059409331549851,0.03208667671060537,0.8535953426218197,0.8855548593805002,0.8975165096425624,0.9138719565224567,0.9281539935880238,0.9585567344503234
2020-05-01,R,NA,estimate,0.9104112733825798,0.9104004307741362,0.03258354333516227,0.8570928463941406,0.8893292197140032,0.9019846070463764,0.9187229960894736,0.9330916716866382,0.9639796810791357
2020-05-02,R,NA,estimate,0.916609012514668,0.9166448042378531,0.03301820974517467,0.861353030457449,0.8950526035130121,0.9091593386776192,0.9248150218613074,0.9394105401458017,0.971005711260246
2020-05-03,R,NA,estimate,0.9245367224847165,0.9246387587957612,0.03326241050938053,0.8689741057546653,0.9029258077315621,0.9176030227740588,0.9333034709295758,0.9475772704938576,0.9782826379427015
2020-05-04,R,NA,estimate,0.9343320591986606,0.934267127566018,0.03327038121529497,0.8787443430659272,0.9118928075727676,0.9269334338763014,0.9427832702244925,0.9565133059458706,0.9873981805515408
2020-05-05,R,NA,estimate,0.9454041381377327,0.9453144034482984,0.03310191345112156,0.8909192313798727,0.9237337311775875,0.9380127774256455,0.953463319868439,0.9672054671206042,0.9998925826032222
2020-05-06,R,NA,estimate,0.9574860571887303,0.9574535882535501,0.032904864062790154,0.9020956349157052,0.9359124934759491,0.9496583732507697,0.9652465966403614,0.9791570110618629,1.0111890484046666
2020-05-07,R,NA,estimate,0.9691286313064544,0.9702485182676078,0.03285484078396865,0.9154641710362805,0.9485384379236039,0.9622037580671756,0.9773937693851538,0.9911838700759523,1.0249906251738619
2020-05-08,R,NA,estimate,0.9816793710551714,0.9831729903029535,0.03306827018941685,0.9283929191053846,0.9615819952709643,0.9741988637843253,0.9905157729978409,1.004615743643799,1.0396034822765134
2020-05-09,R,NA,estimate,0.9938884132875175,0.995647771790811,0.03353524850791509,0.9411239759204459,0.9741696289106453,0.9861771478025307,1.0021505486228772,1.0164522456187457,1.0535284008987622
2020-05-10,R,NA,estimate,1.004440543288068,1.007092815927926,0.03412371754890766,0.9528540151365055,0.9851162858424196,0.9968998490655306,1.012878834257716,1.0283229044917193,1.0648327226000829
2020-05-11,R,NA,estimate,1.0144633223101402,1.0169874470130638,0.03465927329433766,0.9647790739502242,0.9936325725815515,1.0062434185685891,1.0233552323691995,1.0384212645382833,1.0765664748829848
2020-05-12,R,NA,estimate,1.023230704983634,1.0249275229020844,0.03502754479143154,0.9713776510493443,1.0009987187129168,1.0140500713119223,1.032005586860575,1.046534363299545,1.0857781171373047
2020-05-13,R,NA,estimate,1.028479344100167,1.0306674645017209,0.03523414240538297,0.9752014616892017,1.0066236229546335,1.0206067538730874,1.0370235772276102,1.0531707814731954,1.0904390339845313
2020-05-14,R,NA,estimate,1.0326811228657233,1.0341376113700789,0.03538627538108454,0.9771412475969206,1.0105007968535455,1.0234778440720063,1.0412268239523692,1.0568393068903346,1.0947748389814775
2020-05-15,R,NA,estimate,1.0346421176584357,1.035433060131894,0.035604260542317884,0.9799111767012532,1.011766466409952,1.0258925829444285,1.042719579046842,1.058208834980158,1.0963160950825048
2020-05-16,R,NA,estimate,1.03422978162759,1.034776935638157,0.035917409735667316,0.975943861533075,1.0114973863338588,1.0256302915134807,1.0425976392437453,1.0576279450975483,1.0959677915432078
2020-05-17,R,NA,estimate,1.0322577791399157,1.0324665009153395,0.0362184091819015,0.9718844550300851,1.0094372742173228,1.0230295201044253,1.040317842547918,1.0554254843978788,1.0934895809976894
2020-05-18,R,NA,estimate,1.0279824260504284,1.0288130740068024,0.03631051856992081,0.9681447917574663,1.0058970638015934,1.020080913675419,1.0374385499151697,1.0524986268828684,1.0895306984463795
2020-05-19,R,NA,estimate,1.0238935076249391,1.0240863080648734,0.036014289044878016,0.9639530553097647,1.000345607333809,1.0161163492274312,1.0327813570423854,1.048171798578754,1.083085927541681
2020-05-20,R,NA,estimate,1.019076895825999,1.018471060686913,0.035273495192562,0.9609592695089755,0.9946798150442403,1.0101726517971517,1.0270363828092224,1.0424652481966954,1.0763061977656836
2020-05-21,R,NA,estimate,1.0116760790123682,1.0120421700983564,0.03421803661041746,0.9568346890900953,0.9888665093752204,1.004149003048739,1.0203836150466459,1.0351494856931147,1.0671165150830024
2020-05-22,R,NA,estimate,1.0049775865828088,1.0047598682865357,0.033158185863660296,0.9518769779426476,0.9823831560088664,0.9963922014385247,1.012542474952005,1.0268910973813117,1.0580714874560053
2020-05-23,R,NA,estimate,0.9958804258162427,0.9964864743446628,0.032484364180348765,0.9444284777337331,0.9746192947358762,0.9876406108316454,1.0036573697095799,1.0173965429748637,1.0510711064912694
2020-05-24,R,NA,estimate,0.9859437666521222,0.9870230335485639,0.03247404907803853,0.9350064657528828,0.9655082940515936,0.9779970400699434,0.9932182694881766,1.00814774200324,1.0441144251695222
2020-05-25,R,NA,estimate,0.9742373588726645,0.9761621510944858,0.03310623905025796,0.9248271684740459,0.954079279468391,0.9663344802519989,0.9825392294830915,0.9972164281282978,1.0341300989475648
2020-05-26,R,NA,estimate,0.962275250740908,0.9637502207153968,0.03404409403034432,0.9113957325455198,0.9403963777783694,0.9533542256379008,0.9702794217198135,0.9845694350043517,1.0239844288287623
2020-05-27,R,NA,estimate,0.9474629053006063,0.9497491169466828,0.03480878102169409,0.896115456032971,0.9258801449055543,0.939141519842402,0.9565937400403892,0.9708626395034377,1.011486470543104
2020-05-28,R,NA,estimate,0.9323699855975507,0.9342854931509034,0.035001778196825206,0.8812313999115193,0.9101818866420877,0.9236419021891686,0.9408522669349445,0.9558883881424247,0.9959274123006892
2020-05-29,R,NA,estimate,0.916275295788276,0.9176765797858978,0.034457688190104176,0.8622937783198311,0.8945171060332376,0.90739291844056,0.9247186007147796,0.9388018451252738,0.9782814443272061
2020-05-30,R,NA,estimate,0.8999189468999462,0.9004255529298796,0.03330564578763636,0.847532319556371,0.8777415286564403,0.8916563812758231,0.90764555654625,0.9214400495597974,0.9585371758352673
2020-05-31,R,NA,estimate,0.8833707535649034,0.8831864085222856,0.031945830148460405,0.8319882943157056,0.861434406275183,0.8757053247575639,0.8909541347624728,0.9038053751540656,0.9359645782328988
2020-06-01,R,NA,estimate,0.8670905775261613,0.8667056260844418,0.03092612051622005,0.8157539331336432,0.8459390469478701,0.859079310207628,0.8751878133066178,0.8878208815731052,0.916544524757284
2020-06-02,R,NA,estimate,0.8526256540527648,0.8517529917136398,0.030707618130201175,0.7995627151499133,0.8317347396717366,0.8443109905896895,0.8606157487589596,0.8735636784981444,0.8987662377277901
2020-06-03,R,NA,estimate,0.8402099484048329,0.8390548987359318,0.03141468687230871,0.7868579982210102,0.8185904728006246,0.8316220529032073,0.8481666982159077,0.8606644567097164,0.8885177654622406
2020-06-04,R,NA,estimate,0.8295504086443503,0.8292402455066746,0.03277506173893499,0.774268407045607,0.8074377293572067,0.8213893687140725,0.8388281026235809,0.8520319516308785,0.8823764586446742
2020-06-05,R,NA,estimate,0.8236086730703782,0.8228034656136524,0.034300257739666065,0.7658545705969906,0.7997843423552209,0.8140187888285703,0.8328319353452867,0.8468555710936438,0.8766430653361228
2020-06-06,R,NA,estimate,0.8210801479669954,0.8200837160326181,0.035515585673005515,0.7619188094415841,0.7952691822223752,0.811150997026026,0.8305923596251552,0.8456535501595309,0.8743688009518362
2020-06-07,R,NA,estimate,0.8217072342396774,0.8212557133341508,0.036091826343249936,0.7628717317482011,0.7966199338746663,0.8129480919128904,0.8316566734681389,0.8473655958951382,0.8770427862924819
2020-06-08,R,NA,estimate,0.8280586422797842,0.8263268277439164,0.03588570455537774,0.7669173165076796,0.8019167791587694,0.8184109757759194,0.8379014167890997,0.8517589058700563,0.8824387931066712
2020-06-09,R,NA,estimate,0.8368148437597887,0.8351364013776161,0.03494253982337361,0.7763031838894547,0.811687458576006,0.8280643859761752,0.8463471644093241,0.8596177429837107,0.8901968014253456
2020-06-10,R,NA,estimate,0.8493656909627525,0.8473558612432711,0.03349130080172918,0.7888506606398729,0.8251136005401056,0.8406123749968706,0.8578562739998918,0.8708354597449369,0.899627807166747
2020-06-11,R,NA,estimate,0.8635479178379895,0.8624909742564483,0.03193198505569696,0.8079980425400003,0.8412625508606499,0.8558043788089208,0.8718529456919073,0.8848594685754627,0.9118124524290494
2020-06-12,R,NA,estimate,0.8803921094112803,0.8798896327977721,0.030785826292901608,0.82845359231361,0.8592510624594701,0.8730991571727786,0.8883784119832419,0.9008985798013631,0.9281542830101731
2020-06-13,R,NA,estimate,0.8985505472110736,0.8987592385668861,0.030559900992280106,0.8473474089653426,0.878913641400818,0.8903842593588556,0.9070973681112844,0.9185637272609658,0.9484649169276993
2020-06-14,R,NA,estimate,0.9171279465200344,0.9181968437207079,0.03153139011739624,0.8692101254158878,0.8966348378818362,0.9091258128283657,0.9254935663000615,0.9385152518480693,0.9731957785915133
2020-06-15,R,NA,estimate,0.9358489423313473,0.9372330010850636,0.03359823310795397,0.8867942641201382,0.9133005708313688,0.9272499829439006,0.9440801531080683,0.9585320084736432,0.9964731922418316
2020-06-16,R,NA,estimate,0.95276536732325,0.9548875139125813,0.0363409575105395,0.8984066449587139,0.9291934266201929,0.9438089836757598,0.9623510776349367,0.9785210255233456,1.0187258750707269
2020-06-17,R,NA,estimate,0.9696817171461496,0.9702328263198376,0.03921331818962208,0.9089864051082783,0.9422500568855254,0.9583038091234104,0.9789835272679602,0.9951000340853793,1.0357060617918556
2020-06-18,R,NA,estimate,0.9816175088523891,0.9824592207278098,0.041697152914928697,0.9171731633093447,0.9525028106210418,0.970223391249824,0.9920202356404628,1.0084430919582112,1.0502328210261973
