"","date","case","DeepLearningRt","EpiEstimRt","EpiNow2Rt","KalmanRt","DeepLearningIt","EpiEstimIt","EpiNow2It","EmsembleRt","EmsembleIt"
"60",2020-04-29,347,0.9782207,0.828315598,0.910400430774136,0.903759594,465.703125,347,458.2825,0.905645576258046,423.661875
"61",2020-04-30,459,0.9662516,0.818776368,0.916644804237853,0.905881044,458.7158203125,459,438.881,0.900557590745951,452.198940104167
"62",2020-05-01,421,0.95551825,0.844307602,0.924638758795761,0.951050825,451.8447265625,421,422.9585,0.908154870265254,431.934408854167
"63",2020-05-02,511,0.94590724,0.809128277,0.934267127566018,0.917297161,445.103515625,511,396.8125,0.896434214855339,450.972005208333
"64",2020-05-03,434,0.93731344,0.781268336,0.945314403448298,0.934741288,438.48828125,434,379.7055,0.887965393149433,417.397927083333
"65",2020-05-04,370,0.92963743,0.77601597,0.95745358825355,0.910018736,432.0078125,370,369.1995,0.88770232941785,390.4024375
"66",2020-05-05,387,0.922789,0.781493412,0.970248518267608,0.914388693,425.650390625,387,410.441,0.891510310089203,407.697130208333
"67",2020-05-06,412,0.91668427,0.769740768,0.983172990302954,0.873421736,419.4296875,412,384.7605,0.889866009434318,405.396729166667
"68",2020-05-07,399,0.9112483,0.739625931,0.995647771790811,0.903619401,413.33203125,399,376.7975,0.88217400093027,396.376510416667
"69",2020-05-08,477,0.9064108,0.737812309,1.00709281592793,0.901705267,407.380859375,477,369.251,0.883771974975975,417.877286458333
"70",2020-05-09,346,0.90210843,0.76662861,1.01698744701306,0.86875102,401.529296875,346,351.1245,0.895241495671021,366.217932291667
"71",2020-05-10,294,0.89828515,0.797347268,1.02492752290208,0.832819604,395.826171875,294,346.8645,0.906853313634028,345.563557291667
"72",2020-05-11,308,0.89488864,0.812996988,1.03066746450172,0.829334035,390.251953125,308,339.204,0.912851030833907,345.818651041667
"73",2020-05-12,361,0.89187324,0.853768225,1.03413761137008,0.773816235,384.814453125,361,386.405,0.926593025456693,377.406484375
"74",2020-05-13,329,0.8891971,0.894470664,1.03543306013189,0.749189132,379.48046875,329,370.1775,0.939700274710631,359.55265625
"75",2020-05-14,258,0.8868221,0.970037502,1.03477693563816,0.834897887,374.24609375,258,368.046,0.963878845879386,333.430697916667
"76",2020-05-15,428,0.88471663,0.995011223,1.03246650091534,0.890754386,369.109375,428,369.7385,0.970731451305113,388.949291666667
"77",2020-05-16,391,0.8828497,1.021409118,1.0288130740068,0.889889827,364.056640625,391,358.7325,0.977690630668934,371.263046875
"78",2020-05-17,340,0.8811947,1.08284752,1.02408630806487,0.886913814,359.099609375,340,358.879,0.996042842688291,352.659536458333
"79",2020-05-18,304,0.8797283,1.133878601,1.01847106068691,0.985148283,354.2265625,304,354.261,1.01069265389564,337.495854166667
"80",2020-05-19,427,0.87842846,1.088009265,1.01204217009836,0.966776898,349.431640625,427,406.4375,0.992826631699452,394.289713541667
"81",2020-05-20,390,0.87727726,1.053260692,1.00475986828654,0.98152221,344.7265625,390,395.6765,0.978432606762178,376.801020833333
"82",2020-05-21,413,0.87625754,1.040463127,0.996486474344663,1.036336674,340.09375,413,393.612,0.971069047114888,382.23525
"83",2020-05-22,441,0.8753543,0.998250319,0.987023033548564,1.089049991,335.546875,441,389.747,0.953542550849521,388.764625
"84",2020-05-23,412,0.87455463,0.957355314,0.976162151094486,1.096538628,331.052734375,412,379.121,0.936024031698162,374.057911458333
"85",2020-05-24,460,0.8738471,0.899103674,0.963750220715397,1.093239624,326.658203125,460,371.6465,0.912233664905132,386.101567708333
"86",2020-05-25,404,0.8732196,0.892858614,0.949749116946683,1.019067365,322.30859375,404,368.491,0.905275776982228,364.933197916667
"87",2020-05-26,287,0.8726646,0.948069601,0.934285493150903,0.941503186,318.052734375,287,414.6275,0.918339898050301,339.893411458333
"88",2020-05-27,292,0.8721732,0.962974227,0.917676579785898,0.932237561,313.830078125,292,396.823,0.917608002261966,334.217692708333
"89",2020-05-28,383,0.87173843,0.953419268,0.90042555292988,0.878971586,309.6875,383,385.7385,0.90852775030996,359.475333333333
"90",2020-05-29,344,0.87135315,0.956617682,0.883186408522286,0.84759439,305.603515625,344,379.714,0.903719080174095,343.105838541667
"91",2020-05-30,323,0.87101245,1.011603112,0.866705626084442,0.881318493,301.576171875,323,361.0595,0.916440396028147,328.545223958333
"92",2020-05-31,326,0.87071073,1.051667697,0.85175299171364,0.951791762,297.603515625,326,350.1035,0.924710472904547,324.569005208333
"93",2020-06-01,404,0.8704438,0.996324229,0.839054898735932,0.990252607,293.685546875,404,333.7285,0.901940975911977,343.804682291667
"94",2020-06-02,446,0.8702073,0.918291107,0.829240245506675,0.987991813,289.8203125,446,366.162,0.872579550835558,367.3274375
"95",2020-06-03,338,0.8699982,0.888040442,0.822803465613652,1.006949333,286.0078125,338,339.8285,0.860280702537884,321.278770833333
"96",2020-06-04,356,0.86981344,0.830585658,0.820083716032618,1.015935886,282.25,356,321.07,0.840160938010873,319.773333333333
"97",2020-06-05,344,0.8696495,0.768751373,0.821255713334151,1.041718998,278.5390625,344,305.0625,0.81988552877805,309.200520833333
"98",2020-06-06,455,0.8695042,0.696567002,0.826326827743916,1.020805688,274.8828125,455,281.389,0.797466009914639,337.090604166667
"99",2020-06-07,415,0.8693757,0.613956364,0.835136401377616,0.967965491,271.2734375,415,261.97,0.772822821792539,316.081145833333
"100",2020-06-08,243,0.8692627,0.59372832,0.847355861243271,0.903588359,267.712890625,243,245.1485,0.77011562708109,251.953796875
"101",2020-06-09,230,0.86916184,0.582071275,0.862490974256448,0.862087367,264.205078125,230,264.9965,0.771241363085483,253.067192708333
"102",2020-06-10,251,0.8690729,0.567110934,0.879889632797772,0.735947161,260.734375,251,242.7885,0.772024488932591,251.507625
"103",2020-06-11,203,0.8689947,0.567610742,0.898759238566886,0.624665407,257.322265625,203,229.369,0.778454893522295,229.897088541667
"104",2020-06-12,182,0.868925,0.582298246,0.918196843720708,0.662485987,253.953125,182,215.821,0.789806696573569,217.258041666667
"105",2020-06-13,266,0.86886334,0.576014042,0.937233001085064,0.665639499,250.62890625,266,202.4015,0.794036794361688,239.676802083333
"106",2020-06-14,197,0.86880875,0.588574137,0.954887513912581,0.6448017,247.34375,197,192.837,0.804090133637527,212.393583333333
"107",2020-06-15,181,0.86876035,0.604248057,0.970232826319838,0.656203995,244.09765625,181,183.503,0.814413744439946,202.866885416667
"108",2020-06-16,184,0.86871743,0.647465923,0.98245922072781,0.684949956,240.9140625,184,204.6815,0.83288085790927,209.8651875
"109",2020-06-17,190,0.86867964,0.663370951,0.990935364503883,0.642621744,237.765625,190,192.91,0.840995318501294,206.891875
"110",2020-06-18,173,0.86864614,0.702834008,0.995257862669776,0.652749804,234.650390625,173,186.7015,0.855579336889925,198.117296875
"111",2020-06-19,178,0.8686167,0.696483425,0.995284190088542,0.694891795,231.578125,178,184.3885,0.853461438362847,197.988875
"112",2020-06-20,206,0.86859035,0.69927352,0.991144807895176,0.70983181,228.552734375,206,175.3485,0.853002892631725,203.300411458333
"113",2020-06-21,175,0.8685671,0.729446398,0.983232603358889,0.708050589,225.5703125,175,174.882,0.86041536711963,191.8174375
"114",2020-06-22,161,0.8685466,0.818310554,0.972170919576298,0.764463312,222.6171875,161,171.0185,0.886342691192099,184.8785625
"115",2020-06-23,216,0.86852837,0.807207655,0.958764715323006,0.770357031,219.703125,216,194.9425,0.878166913441002,210.215208333333
"116",2020-06-24,163,0.8685124,0.72094515,0.943941805054933,0.773909926,216.83203125,163,185.5435,0.844466451684978,188.458510416667
"117",2020-06-25,189,0.86849797,0.820979247,0.928691841628915,0.735754522,213.99609375,189,183.2095,0.872723019542971,195.401864583333
"118",2020-06-26,111,0.86848557,0.880856616,0.914009596116214,0.754824521,211.1953125,111,179.3145,0.887783927372071,167.1699375
